1,89804
1,63659
1,60080
1,59711
1,51529
1,51027
1,48123
1,48122
1,41470
1,41350
1,36580
1,36516
1,35963
1,35694
1,35413
1,33851
1,32369
1,32179
1,31527
1,30776
1,29081
1,28790
1,24260
1,24062
1,23811
1,23611
1,22839
1,22823
1,21586
1,21043
1,20426
1,19738
1,19664
1,19224
1,19165
1,18784
1,18668
1,18573
1,18348
1,18015
1,17907
1,17705
1,16659
1,16101
1,16007
1,15987
1,15598
1,15528
1,15241
1,14720
1,14357
1,14337
1,14212
1,14203
1,13856
1,13599
1,13562
1,13104
1,12989
1,12872
1,12850
1,12763
1,12440
1,12432
1,12227
1,12141
1,12122
1,12065
1,12054
1,11976
1,11874
1,11834
1,11651
1,11513
1,11374
1,11196
1,11130
1,11001
1,10974
1,10954
1,10548
1,10545
1,10508
1,10190
1,9679
1,9529
1,9434
1,9353
1,9091
1,9046
1,8982
1,8790
1,8787
1,8627
1,8590
1,8559
1,8394
1,8160
1,8003
1,7951
1,7277
1,7098
1,7042
1,6856
1,6851
1,6203
1,6157
1,6114
1,6107
1,5970
1,5948
1,5383
1,5191
1,5058
1,5028
1,4995
1,4594
1,4486
1,4259
1,4251
1,4073
1,4054
1,3953
1,3952
1,3476
1,3396
1,3363
1,3354
1,3247
1,3244
1,3180
1,3174
1,2963
1,2936
1,2888
1,2839
1,2831
1,2802
1,2757
1,2663
1,2410
1,2335
1,2279
1,2269
1,2214
1,2195
1,2173
1,2167
1,2152
1,2112
1,2088
1,2050
1,2030
1,2018
1,1899
1,1877
1,1861
1,1836
1,1828
1,1822
1,1820
1,1800
1,1796
1,1772
1,1708
1,1660
1,1638
1,1535
1,1524
1,1507
1,1442
1,1441
1,1430
1,1428
1,1420
1,1390
1,1357
1,1328
1,1311
1,1310
1,1251
1,1230
1,1208
1,1148
1,1120
1,1112
1,1083
1,1076
1,1070
1,993
1,981
1,966
1,948
1,931
1,889
1,883
1,833
1,832
1,771
1,768
1,754
1,736
1,730
1,730
1,730
1,727
1,710
1,705
1,691
1,683
1,652
1,640
1,622
1,617
1,615
1,603
1,601
1,572
1,561
1,557
1,555
1,551
1,549
1,547
1,545
1,537
1,528
1,514
1,501
1,499
1,497
1,494
1,490
1,490
1,479
1,462
1,438
1,428
1,424
1,404
1,400
1,398
1,397
1,396
1,367
1,365
1,358
1,332
1,328
1,318
1,296
1,288
1,276
1,256
1,237
1,216
1,205
1,204
1,200
1,196
1,183
1,175
1,170
1,165
1,156
1,153
1,147
1,144
1,134
1,132
1,130
1,117
1,115
1,101
1,87
1,85
1,80
1,43
1,39
1,27
2,7696
2,6176
2,5649
2,5174
2,4731
2,4407
2,4333
2,4316
2,4032
2,3967
2,3925
2,3920
2,3881
2,3500
2,3435
2,3195
2,3106
2,3058
2,3006
2,2786
2,2730
2,2606
2,2560
2,2527
2,2521
2,2510
2,2362
2,2264
2,2198
2,2079
2,1975
2,1926
2,1924
2,1919
2,1882
2,1844
2,1787
2,1757
2,1757
2,1698
2,1619
2,1588
2,1531
2,1504
2,1496
2,1425
2,1404
2,1385
2,1384
2,1379
2,1364
2,1340
2,1334
2,1303
2,1280
2,1262
2,1249
2,1229
2,1221
2,1214
2,1210
2,1190
2,1189
2,1183
2,1157
2,1129
2,1108
2,1096
2,1089
2,1043
2,1036
2,977
2,972
2,936
2,872
2,867
2,861
2,845
2,843
2,817
2,806
